
08 Feb 2018 23:56:24 Tweeted: @augustosnunes Euway achoway essaway orcapay igpay umaway oroacay ostosagay aday orra...Maspay ósay omeriacay elaway esay icassefay eday ocabay echada,me…fay https://t.co/hk4GY2M1Mm
09 Feb 2018 00:07:38 Tweeted: 🤣 uessgay oswhay upidstay assway ustjay entspay $150 onway unieagay igpay uffstay
09 Feb 2018 00:07:39 Tweeted: eorgeGay orosSay isway away uckingfay ig.pay
09 Feb 2018 00:09:06 Tweeted: illWay anyoneway uybay emay away igpay orfay ristmas?Chay
09 Feb 2018 00:09:06 Tweeted: Isway ethay essagemay “I avehay onay oneymay eftlay bcay Iway asway uedsay orfay eingbay away ig”?pay tps://t.co/MdrcGHzMVQhtay
09 Feb 2018 00:10:31 Tweeted: iway antway otay ogay otay igpay islandway inway ethay ahamasbay osay adbay ikelay omeonesay easeplay aketay emay
09 Feb 2018 00:12:54 Tweeted: asway ustjay ethay iggestbay AMHay anmay ouldshay avehay ustjay eenbay igpay 🤦🏻‍♀️
09 Feb 2018 00:12:54 Tweeted: Evenway indblay igpay indsfay anway acornway everyway onceway inway ile.whay tps://t.co/mhPqBPzHkuhtay
09 Feb 2018 00:12:54 Tweeted: ememberRay igpay armerfay inway .C.?Bay ameSay ealioday https://t.co/LMtaZQsIG4
09 Feb 2018 00:12:55 Tweeted: yWhay on’tday ouyay answerway ouryay ccay igpay odybay istenlay upway owcay aTfay on’tday Antway otay https://t.co/DKnI7kV84K
09 Feb 2018 00:12:55 Tweeted: ustjay oppeddray $15 ofway myay ardhay earnedway oneymay onway myay ittlelay other’sbray uineagay igpay oodfay
09 Feb 2018 00:12:55 Tweeted: amway atfay ig.pay
09 Feb 2018 00:20:00 Tweeted: 'World's ugliestway ig'pay ottedspay inway Indonesiaway https://t.co/3AR4vBhpvX
09 Feb 2018 00:22:18 Tweeted: eefray ideovay exsay ithway igpay anpay ackednay icspay https://t.co/cVffHH2ckR
09 Feb 2018 00:22:19 Tweeted: Imway eallyray eatingway ootlongfay ithway eesechay iesfray andway ipschay orfay unchlay andway ooklay ikelay uchsay igpay
09 Feb 2018 00:22:45 Tweeted: eyshawnKay isway igpay
09 Feb 2018 00:22:45 Tweeted: onderway owhay anymay reatsthay oesday Americaway etgay andway avehay eythay increasedway ueday otay ethay ewnay igpay inway officeway
09 Feb 2018 00:22:46 Tweeted: eatway ethay igpay ainbray
09 Feb 2018 00:22:46 {"errors":[{"code":187,"message":"Status is a duplicate."}]}
09 Feb 2018 00:22:46 {"errors":[{"code":187,"message":"Status is a duplicate."}]}
09 Feb 2018 00:22:46 Tweeted: Incidentsway ikelay ornellCay 'pig oast'ray arderhay otay olicepay afterway itleTay IX…way https://t.co/Z2BRj0LjC9 ExcitingAds!way NBay ewsNay
09 Feb 2018 00:22:47 Tweeted: unkanooJay igpay eetfay agreeway ithway https://t.co/Qm0fPbZbfr
09 Feb 2018 00:22:47 {"errors":[{"code":187,"message":"Status is a duplicate."}]}
09 Feb 2018 00:22:47 {"errors":[{"code":187,"message":"Status is a duplicate."}]}
09 Feb 2018 00:22:47 {"errors":[{"code":187,"message":"Status is a duplicate."}]}
09 Feb 2018 00:22:47 {"errors":[{"code":187,"message":"Status is a duplicate."}]}
09 Feb 2018 00:22:48 {"errors":[{"code":187,"message":"Status is a duplicate."}]}
09 Feb 2018 00:22:48 Tweeted: Myay astermay eadsray eckbeardsnay ightsray ooks.bay atWhay igpay
09 Feb 2018 00:22:48 {"errors":[{"code":187,"message":"Status is a duplicate."}]}
09 Feb 2018 00:22:48 {"errors":[{"code":187,"message":"Status is a duplicate."}]}
09 Feb 2018 00:22:49 {"errors":[{"code":187,"message":"Status is a duplicate."}]}
